"No.","Corpus","Date","Genre","Bibl","URL","ContextBefore","Hit","ContextAfter"
"1","wikipedia","2024-07-01","Wissenschaft","Linux. In: Wikipedia: Die freie Enzyklopädie. 01.07.2024.","https://de.wikipedia.org/w/index.php?oldid=246346555","Wichtige Teilroutinen sowie zeitkritische Module sind jedoch in prozessorspezifischer Assemblersprache","programmiert","."
"2","wikipedia","2024-07-01","Wissenschaft","Linux. In: Wikipedia: Die freie Enzyklopädie. 01.07.2024.","https://de.wikipedia.org/w/index.php?oldid=246346555","Allerdings können Treiber für viele Geräteklassen ( z. B. alle per USB oder Netzwerk angeschlossenen Geräte ) auch ganz ohne Kernelcode","programmiert","werden , was sogar die bevorzugte Vorgehensweise ist ."
"3","wikipedia","2024-07-01","Wissenschaft","Straßenbahn. In: Wikipedia: Die freie Enzyklopädie. 01.07.2024.","https://de.wikipedia.org/w/index.php?oldid=246349495","Die Konflikte mit dem Straßenverkehr waren durchaus","programmiert","und auch gewünscht ."
"4","wikipedia","2024-07-01","Wissenschaft","Die Ärzte. In: Wikipedia: Die freie Enzyklopädie. 01.07.2024.","https://de.wikipedia.org/w/index.php?oldid=246349118","Das Album enthält zudem lediglich einen Song , auf welchem Bela B. Schlagzeug spielt ( Käfer ) , der Rest wurde von Micki Meuser in seinem Beisein","programmiert",", was in einem sehr wuchtigen Sound resultierte ( bestes Beispiel : Rennen , nicht laufen ! ) ."
"5","wikipedia","2024-07-01","Wissenschaft","Computermaus. In: Wikipedia: Die freie Enzyklopädie. 01.07.2024.","https://de.wikipedia.org/w/index.php?oldid=246353226","Jüngere Modelle haben oft zusätzliche Tasten , die fest programmierte Funktionen haben oder deren Funktionalität sogar frei","programmiert","werden kann ."
"6","wikipedia","2024-07-01","Wissenschaft","Atari 400. In: Wikipedia: Die freie Enzyklopädie. 01.07.2024.","https://de.wikipedia.org/w/index.php?oldid=246363755","Die Verantwortlichen entschieden sich dabei für BASIC , eine einsteigerfreundliche Sprache , mit der das neue Computersystem durch den Benutzer für eigene Zwecke","programmiert","und eingesetzt werden kann ."
"7","wikipedia","2024-07-01","Wissenschaft","Skalierbarkeit. In: Wikipedia: Die freie Enzyklopädie. 01.07.2024.","https://de.wikipedia.org/w/index.php?oldid=246364335","Zweitens ist unter hoher Auslastung ( z. B. im Winter ) ein Deadlock","vorprogrammiert","."
"8","wikipedia","2024-07-01","Wissenschaft","Bosnienkrieg. In: Wikipedia: Die freie Enzyklopädie. 01.07.2024.","https://de.wikipedia.org/w/index.php?oldid=246349289","Damit waren Verteilungskonflikte und nationalistische Unterströmungen","vorprogrammiert",", die unter Titos Führung und mittels ethnischer Repräsentation und Machtteilung noch mühsam kontrolliert werden konnten ."
"9","wikipedia","2024-07-01","Wissenschaft","ICon-L. In: Wikipedia: Die freie Enzyklopädie. 01.07.2024.","https://de.wikipedia.org/w/index.php?oldid=246355845","Bei den ersten Geräten wurden die Anwenderprogramme allerdings noch textuell","programmiert","( Hardware Z80 , MC 68332 ) ."
"10","wikipedia","2024-07-01","Wissenschaft","ICon-L. In: Wikipedia: Die freie Enzyklopädie. 01.07.2024.","https://de.wikipedia.org/w/index.php?oldid=246355845","Anfang 1994 wurde mit der MR92 von ABB das erste Steuerungssystem vollständig grafisch","programmiert","."
"11","wikipedia","2024-07-01","Wissenschaft","Bewegungslernen. In: Wikipedia: Die freie Enzyklopädie. 01.07.2024.","https://de.wikipedia.org/w/index.php?oldid=246352815","Deren Bewegungen müssen","programmiert","werden ."
"12","wikipedia","2024-07-01","Wissenschaft","Bewegungslernen. In: Wikipedia: Die freie Enzyklopädie. 01.07.2024.","https://de.wikipedia.org/w/index.php?oldid=246352815","Die Analogie mit den verzweigten Computerprogrammen führte aber zu dem Problem , wie der Organismus solch ein verzweigtes Programm lernen kann , d. h. sich","programmiert",":"
