"corpus","preloaded/nltenten20_tt3"
"subcorpus","-"
"concordance size","208791"
"query","Query:[lc=""Tilburg"" | lemma_lc=""Tilburg""]"
"Reference","Left","KWIC","Right"
"publicinnovation.nl","RGI). </s><s> In GEOGOV namen een aantal organisaties deel waaronder de Erasmus Universiteit Rotterdam, de universiteit van","Tilburg",", de Universiteit van Amsterdam, ITC en Zenc bv. Het programma is afgerond op 31 december 2008. </s><s> In het eerste kwartaal"
"levensloopbrabant.nl","? </s><s> Bekijk hier de film en download hier de folder. </s><s> Hebben&Houden stond in de kringloopwinkel van Boxmeer, Oss, Breda,","Tilburg","en Veldhoven en is nu in Eindhoven te zien. </s><s> OOk in 2013 kunt u de expositie bezoeken: </s><s> Draadbreuk vraagt: kennen jullie de"
"theofficialmasterguide.nl","uit de vandaag gepubliceerde jaarlijkse ranglijst van Times Higher Education Magazine. </s><s> Pabo als universiteit In","Tilburg","komt iets nieuws: de Pabo University. </s><s> Dit wordt een opleiding voor vwo''ers waarin zij een hbo-bachelor leraar"
"levenopwielen.nl","rond te kunnen bewegen. </s><s> Daarnaast is het aanbod gehandicaptenparkeerplaatsen in Nederland ook maar droevig, vooral","Tilburg","is goed in het verstoppen van deze plekken. </s><s> Ze zijn er wel maar je moet wel goed bekend zijn met de stad. </s><s> In het zuiden van"
"ageno.nl","en Regina kwamen kijken! </s><s> E-coaching werkt! </s><s> De eerste uitkomsten van een langlopend onderzoek van de Universiteit van","Tilburg","(UvT) over digitaal coaching zijn positief. </s><s> De coachmarkt is een miljardenindustrie, maar er is nog nooit eerder"
"theofficialmasterguide.nl","vermogen * Bouwt u een uitgebreid en hoogwaardig netwerk op TIAS biedt deze part-time MBA opleiding aan in","Tilburg",", op de campus van Tilburg University. </s><s> De duur van de opleiding is 2 jaar. </s><s> Zodra u het programma succesvol doorlopen"
"theofficialmasterguide.nl","u een uitgebreid en hoogwaardig netwerk op TIAS biedt deze part-time MBA opleiding aan in Tilburg, op de campus van","Tilburg","University. </s><s> De duur van de opleiding is 2 jaar. </s><s> Zodra u het programma succesvol doorlopen heeft, mag u de titel Master of"
"omroeptilburg.nl","behandeling was bij een begeleid wonen instelling. </s><s> Daar had hij soms vrijheden om naar buiten te gaan, stelt justitie. </s><s>","TILBURG","- Ondanks een oproep op het sociale medium Snapchat om maandagavond ''massale plunderingen'' te plegen in de Tilburgse"
"omroeptilburg.nl","'' te plegen in de Tilburgse binnenstad, was het gisteren vrij rustig op straat. </s><s> Wel was de politie met meerdere... </s><s>","TILBURG","- Het heeft even geduurd, maar menig sportvereniging in Tilburg kan haar leden weer verwelkomen. </s><s> Er zijn echter nog wel"
"omroeptilburg.nl","rustig op straat. </s><s> Wel was de politie met meerdere... </s><s> TILBURG - Het heeft even geduurd, maar menig sportvereniging in","Tilburg","kan haar leden weer verwelkomen. </s><s> Er zijn echter nog wel enkele belangrijke richtlijnen aan verbonden. </s><s> Per sport zijn"
"omroeptilburg.nl",". </s><s> Er zijn echter nog wel enkele belangrijke richtlijnen aan verbonden. </s><s> Per sport zijn er andere regels van... </s><s>","TILBURG","- Op donderdag 28 mei is de inzittende van een auto die tegen een geparkeerde auto was gebotst daarna weggerend. </s><s> Een"
"omroeptilburg.nl","van een auto die tegen een geparkeerde auto was gebotst daarna weggerend. </s><s> Een verdachte is daarom later aangehouden. </s><s>","TILBURG","- De gemeente en een Tilburgs kunstbloemenbedrijf hebben de handen ineengeslagen om voor een stukje vergroening in"
"omroeptilburg.nl","- De gemeente en een Tilburgs kunstbloemenbedrijf hebben de handen ineengeslagen om voor een stukje vergroening in","Tilburg","te zorgen. </s><s> Met de groene wand aan de Lovensekanaaldijk is daar weer een steentje aan... </s><s> 2 weken geleden </s><s> Bekijk </s><s> Eefje"
"omroeptilburg.nl","daar weer een steentje aan... </s><s> 2 weken geleden </s><s> Bekijk </s><s> Eefje Wentelteefje is terug op tv! </s><s> De komende tijd zie je bij Omroep","Tilburg","elke week een nieuwe aflevering van Eefje Wentelteefje''s Coronapoppenkast. </s><s> Het Hart van Brabant Nieuws van"
"omroeptilburg.nl","van donderdag 21 mei 2020: – Dierenpark de Oliemeulen opent opnieuw de deuren – Veerle en Pip zijn ''Tourists at home'' in","Tilburg","– Pieter Gabriel heeft zijn... </s><s> Er staat een nieuwe uitzending van Ramadan TV voor je klaar! </s><s> Deze week vlogt Abi voor je,"
"bieratlas.nl","dan het aanbod. </s><s> Niet helemaal Maastrichts meer </s><s> De productie werd deels verplaatst naar de trappistenbrouwerij in","Tilburg",". </s><s> Dit gebeurde om de vraag te kunnen voldoen. </s><s> Ze waren hierna nogsteeds niet van het probleem af, de vraag bleef maar"
"levensloopbrabant.nl","van het Regionaal Historisch Centrum Eindhoven. • Voor Berkel-Enschot zoek je in de beeldbank van regionaal archief","Tilburg",". • Kijk welke functies de plek door de tijd heen heeft gehad en wat er veranderd is, aan de hand van de foto''s die je hebt"
"omroeptilburg.nl","vijf jaar de helft van hun taken zou kunnen verrichten en 39 procent vrezen hun baan in de komende vijf jaar te verliezen. </s><s>","TILBURG","- Dit najaar opent het Leger des Heils een opvang voor dak- en thuislozen met psychische problemen of een verslaving. </s><s> De"
"omroeptilburg.nl","of een verslaving. </s><s> De opvang krijgt de naam Domus en wordt gevestigd aan de Edisonlaan. </s><s> Niet alle buurtbewoners... </s><s>","TILBURG","- De mondkapjes zijn inmiddels bijna niet meer weg te denken uit het straatbeeld. </s><s> Toch zijn er op de plekken waar ze"
"omroeptilburg.nl","<s> Toch zijn er op de plekken waar ze hardst nodig zijn - de zorginstellingen - nog altijd tekorten. </s><s> Om die reden besloot... </s><s>","TILBURG","– Het was dit jaar voor de meeste mensen al niet zo''n gezellige Koningsdag, maar het viel vooral tegen voor kweker Bart"
"omroeptilburg.nl","bomen en... </s><s> 1 maand geleden </s><s> Bekijk </s><s> Deze week krijgen we in CulTuur tekst en uitleg van componist Erwin Steijlen over de","Tilburg","Tune die hij voor de stad heeft gecomponeerd. </s><s> Ook gaan we langs bij Theater De Nieuwe Vorst, waar de komende tijd niet"
"omroeptilburg.nl","Bon in Raad & Daad juist niet op straat. </s><s> We blijven binnen en spreken via een videoverbinding met Beppie Smit van D66","Tilburg",". </s><s> Hoe gaat het raadswerk verder tijdens de coronacrisis? </s><s> En welke... </s><s> Belang van cloud security neemt in 2020 verder toe </s>"
"medischcontact.nl","met een ernstige meervoudige beperking, nam me mee tijdens mijn kennismaking als toezichthouder bij Amarant in","Tilburg",". </s><s> Zij vertelde over haar werk. </s><s> Over de mensen die bij Amarant wonen en leven, voor wie zij met haar collega''s en met de"
"omroeptilburg.nl","ambassadeur in Denemarken over energietransitie en wat Nederlandse bedrijven van Deense bedrijven kunnen leren. </s><s>","TILBURG","- Deze maandag opende de LocHal weer haar deuren. </s><s> Een tijd geleden besloot de bibliotheek helemaal te sluiten vanwege"
"omroeptilburg.nl","te sluiten vanwege de alsmaar strenger wordende maatregelen rondom het coronavirus. </s><s> Maar nu we van de minister... </s><s>","TILBURG","- Net als veel andere scholen in Nederland, zijn ook de Tilburgse basisscholen vanaf maandag weer geopend voor de"
"omroeptilburg.nl","voor de leerlingen. </s><s> Nadat veel scholieren de afgelopen tijd op afstand onderwijs kregen, bijvoorbeeld via... </s><s>","TILBURG","- Een zeer onhandelbare man is zondag in de Jan Heijnsstraat aangehouden op verdenking van diverse feiten. </s><s> De"
"omroeptilburg.nl","zouden willen dat de coronacrisis in vijf minuten voorbij zou zijn, maar dat zal niet gebeuren. </s><s> Wel kunnen we als Omroep","Tilburg","elke dag de situatie kort beschouwen. </s><s> Na tien afleveringen hebben we nog lang niet alle... </s><s> Aflevering 15: Linda Arts -"
"omroeptilburg.nl","samenwerkingsmodel: de FM Coalitie. </s><s> Facilitaire partners gaan met één ambitie aan de slag. </s><s> Binnen de FM Coalitie ... </s><s>","TILBURG","- Zowel de Heikese kerk als de Heuvelse kerk mogen open blijven, in ieder geval de komende jaren. </s><s> Eigenlijk zou één van de"
"omroeptilburg.nl",". </s><s> Eigenlijk zou één van de twee kerken in de Tilburgse binnenstad de deuren moeten sluiten, maar dat hoeft dus niet. </s><s>","TILBURG","- Bij een Kaneelfabriek denk je misschien aan geurende specerijen, maar in dit geval gaat het toch echt om iets anders. </s>"
